cycle_id,status,probe_file,treatment_file,probe_captured_at,treatment_captured_at,probe_vpp,treatment_vpp,frequency_hz,burst_cycles,inter_burst_delay_ms,cycle_period_ms,note
1,complete,probe/cycle_000001.csv,treatment/cycle_000001.csv,2026-07-12T14:20:01.893,2026-07-12T14:20:02.335,4.5,7,612000,6000,200,1000,
2,complete,probe/cycle_000002.csv,treatment/cycle_000002.csv,2026-07-12T14:20:02.971,2026-07-12T14:20:03.416,4.5,7,612000,6000,200,1000,
3,complete,probe/cycle_000003.csv,treatment/cycle_000003.csv,2026-07-12T14:20:03.983,2026-07-12T14:20:04.427,4.5,7,612000,6000,200,1000,
4,complete,probe/cycle_000004.csv,treatment/cycle_000004.csv,2026-07-12T14:20:04.998,2026-07-12T14:20:05.442,4.5,7,612000,6000,200,1000,
5,complete,probe/cycle_000005.csv,treatment/cycle_000005.csv,2026-07-12T14:20:06.013,2026-07-12T14:20:06.458,4.5,7,612000,6000,200,1000,
6,complete,probe/cycle_000006.csv,treatment/cycle_000006.csv,2026-07-12T14:20:07.030,2026-07-12T14:20:07.473,4.5,7,612000,6000,200,1000,
7,complete,probe/cycle_000007.csv,treatment/cycle_000007.csv,2026-07-12T14:20:07.994,2026-07-12T14:20:08.363,4.5,7,612000,6000,200,1000,
8,complete,probe/cycle_000008.csv,treatment/cycle_000008.csv,2026-07-12T14:20:09.050,2026-07-12T14:20:09.495,4.5,7,612000,6000,200,1000,
9,complete,probe/cycle_000009.csv,treatment/cycle_000009.csv,2026-07-12T14:20:10.061,2026-07-12T14:20:10.504,4.5,7,612000,6000,200,1000,
10,complete,probe/cycle_000010.csv,treatment/cycle_000010.csv,2026-07-12T14:20:11.073,2026-07-12T14:20:11.518,4.5,7,612000,6000,200,1000,
11,complete,probe/cycle_000011.csv,treatment/cycle_000011.csv,2026-07-12T14:20:12.087,2026-07-12T14:20:12.504,4.5,7,612000,6000,200,1000,
12,complete,probe/cycle_000012.csv,treatment/cycle_000012.csv,2026-07-12T14:20:13.088,2026-07-12T14:20:13.503,4.5,7,612000,6000,200,1000,
13,complete,probe/cycle_000013.csv,treatment/cycle_000013.csv,2026-07-12T14:20:14.084,2026-07-12T14:20:14.526,4.5,7,612000,6000,200,1000,
14,complete,probe/cycle_000014.csv,treatment/cycle_000014.csv,2026-07-12T14:20:15.161,2026-07-12T14:20:15.604,4.5,7,612000,6000,200,1000,
15,complete,probe/cycle_000015.csv,treatment/cycle_000015.csv,2026-07-12T14:20:16.173,2026-07-12T14:20:16.612,4.5,7,612000,6000,200,1000,
16,complete,probe/cycle_000016.csv,treatment/cycle_000016.csv,2026-07-12T14:20:17.184,2026-07-12T14:20:17.624,4.5,7,612000,6000,200,1000,
17,complete,probe/cycle_000017.csv,treatment/cycle_000017.csv,2026-07-12T14:20:18.193,2026-07-12T14:20:18.637,4.5,7,612000,6000,200,1000,
18,complete,probe/cycle_000018.csv,treatment/cycle_000018.csv,2026-07-12T14:20:19.204,2026-07-12T14:20:19.632,4.5,7,612000,6000,200,1000,
19,complete,probe/cycle_000019.csv,treatment/cycle_000019.csv,2026-07-12T14:20:20.266,2026-07-12T14:20:20.710,4.5,7,612000,6000,200,1000,
20,complete,probe/cycle_000020.csv,treatment/cycle_000020.csv,2026-07-12T14:20:21.281,2026-07-12T14:20:21.719,4.5,7,612000,6000,200,1000,
21,complete,probe/cycle_000021.csv,treatment/cycle_000021.csv,2026-07-12T14:20:22.291,2026-07-12T14:20:22.733,4.5,7,612000,6000,200,1000,
