group,file,f0_hz,icd_estimated_f0,icd_fixed_608k,std_mv,ptp_mv,mean_mv,band_60_85k_power,band_450_750k_power,band_1_30_1_43m_power,top_peak_hz,top_peak_power
1 采集卡底噪_新位置,capture_20260702_111014_012.csv,510000.0,4.04174886551497e-05,2.9948442112000206e-05,2.0480775763749426,7.8125,0.4876172424,0.0009460151173442692,3.340569576927017e-05,9.335488075479805e-06,128000.0,1.8405287338431526
1 采集卡底噪_新位置,capture_20260702_111015_017.csv,488000.0,4.8936067658449326e-05,3.0010886411797508e-05,2.0441703909302125,7.8125,0.48582036803999995,0.001198576489461065,3.098755287449374e-05,8.8031198775095e-06,128000.0,1.8159883514394002
1 采集卡底噪_新位置,capture_20260702_111015_995.csv,488000.0,4.899831758265982e-05,2.663880679838626e-05,2.0441786141876155,7.8125,0.45529302215999995,0.0011757238610230244,2.8994540551381024e-05,9.278750285250693e-06,128000.0,1.8436715055554944
1 采集卡底噪_新位置,capture_20260702_111017_015.csv,488000.0,4.5577167462267e-05,2.9952499781868547e-05,2.042694328834273,7.8125,0.44648442508,0.0010420201399118961,2.682151617345707e-05,9.454558841066033e-06,128000.0,1.818102345001799
1 采集卡底噪_新位置,capture_20260702_111018_016.csv,488000.0,4.947455707325798e-05,2.8870569107154594e-05,2.044367631521254,7.8125,0.46515630635999994,0.0008553454082959944,2.6486722395555132e-05,9.33144202664194e-06,128000.0,1.7823310171781386
1 采集卡底噪_新位置,capture_20260702_111018_995.csv,488000.0,4.6099549071016945e-05,3.166637329359257e-05,2.0458915834165583,7.8125,0.45052739795999996,0.001133515330393901,2.79363656976608e-05,1.215396649986311e-05,128000.0,1.820136721637099
1 采集卡底噪_新位置,capture_20260702_111020_015.csv,488000.0,5.052845920543822e-05,3.030206859315189e-05,2.0470413801552962,7.8125,0.41671879836,0.0007368665628225395,3.440440661464634e-05,1.2033133050203164e-05,128000.0,1.7267751540288372
1 采集卡底噪_新位置,capture_20260702_111020_994.csv,742000.0,2.6313999172071084e-05,2.8051663549128725e-05,2.0490173718678295,7.8125,0.45455083519999995,0.0009805145262550019,2.9695705934662647e-05,9.642848468953908e-06,128000.0,1.8152961957427913
1 采集卡底噪_新位置,capture_20260702_111022_018.csv,488000.0,5.3689186130267544e-05,3.1007150806418334e-05,2.048850512705354,7.324218999999999,0.44861333159999994,0.000795287977775172,2.57739052760961e-05,9.381989696650216e-06,128000.0,1.7231010217598448
1 采集卡底噪_新位置,capture_20260702_111023_006.csv,488000.0,5.421328240999616e-05,2.952735892533549e-05,2.0429318200166766,7.8125,0.4736523997199999,0.001186113302059293,2.995431735269856e-05,9.098786730475232e-06,128000.0,1.8011868897950851
1 采集卡底噪_新位置,capture_20260702_111024_018.csv,488000.0,4.79894039747171e-05,2.9192530323595945e-05,2.0454713210605853,8.300781,0.47201177228,0.0011815446955792384,2.750336047503247e-05,9.171403588032962e-06,128000.0,1.8480461417878202
1 采集卡底噪_新位置,capture_20260702_111024_995.csv,488000.0,5.028230196062138e-05,2.8751915383343947e-05,2.04141536210537,7.324218999999999,0.43652348776,0.0007715823286557005,2.8971214946937034e-05,7.819716702427043e-06,128000.0,1.8103583751745327
1 采集卡底噪_新位置,capture_20260702_111026_013.csv,488000.0,4.320005981437999e-05,3.041971255797771e-05,2.044240236755703,7.8125,0.43402348868,0.0011849216098776092,2.965541287046053e-05,9.461922142862188e-06,128000.0,1.864328941193774
1 采集卡底噪_新位置,capture_20260702_111027_001.csv,510000.0,4.549562109690504e-05,3.060312829768864e-05,2.0453229466842107,7.8125,0.42187505068,0.0008587502214709857,2.7922036396519724e-05,1.189368008395506e-05,128000.0,1.8378890221215394
1 采集卡底噪_新位置,capture_20260702_111028_001.csv,488000.0,5.134537879434764e-05,2.956397619600476e-05,2.046705906393044,8.300781,0.4192969222,0.0010860797339744884,2.5555986173632717e-05,1.0880296563056421e-05,128000.0,1.7500576258277611
1 采集卡底噪_新位置,capture_20260702_111029_009.csv,488000.0,5.01509776530424e-05,3.0508934142014267e-05,2.041166540423139,7.8125,0.4046484851599999,0.0010144595170702288,2.456464619564851e-05,1.0860563488609991e-05,128000.0,1.8459442734607536
1 采集卡底噪_新位置,capture_20260702_111030_019.csv,488000.0,5.132626376899085e-05,3.020347252182174e-05,2.0423301212185287,7.324218999999999,0.39957036284,0.001070536008173834,2.8417101365727528e-05,1.0367898808249285e-05,128000.0,1.8512052988629266
1 采集卡底噪_新位置,capture_20260702_111031_002.csv,488000.0,5.840639697878689e-05,2.8242772495734767e-05,2.0355219198681147,8.300781,0.42384770448,0.001182646309680267,3.202137167159383e-05,8.507871584821477e-06,128000.0,1.8815128038576183
1 采集卡底噪_新位置,capture_20260702_111032_005.csv,488000.0,5.106470999265017e-05,3.0380534473872048e-05,2.043934122868958,7.8125,0.4174609894,0.0009108868873904887,2.886275344217934e-05,7.45199856069036e-06,128000.0,1.8485865301391204
1 采集卡底噪_新位置,capture_20260702_111033_005.csv,488000.0,5.3027541326085444e-05,3.0327283810836533e-05,2.052720382061966,7.8125,0.43238286536,0.0009755663710615635,2.7349098270844646e-05,8.674309850410163e-06,128000.0,1.7775886870808624
1 采集卡底噪_新位置,capture_20260702_111034_005.csv,488000.0,5.223911210173004e-05,3.0110988592449115e-05,2.041318962016279,7.8125,0.4300000506,0.0009602544890374486,3.127363125926563e-05,1.099997344223547e-05,128000.0,1.831891149061975
1 采集卡底噪_新位置,capture_20260702_111035_019.csv,488000.0,5.445000301385635e-05,2.97198070196661e-05,2.0535788383281552,7.8125,0.45033208271999997,0.0007939693280591809,2.5403780328909352e-05,1.0458550936684236e-05,128000.0,1.758566122166727
1 采集卡底噪_新位置,capture_20260702_111036_011.csv,488000.0,4.775503304715255e-05,3.052204969098814e-05,2.0427356867761146,8.300781,0.43197270891999995,0.0012909558678421433,3.344246560697822e-05,1.0379339433063083e-05,128000.0,1.8728812853565167
1 采集卡底噪_新位置,capture_20260702_111036_994.csv,488000.0,4.658530047645345e-05,2.903770229388782e-05,2.0417163399466443,7.8125,0.41238286284000003,0.0010842801029411029,2.7575236418614804e-05,1.0996997507920832e-05,128000.0,1.746172756509543
10 补测一组功放打开的，用做备用,capture_20260703_150144_030.csv,488000.0,5.532277900307829e-05,2.972038906932314e-05,0.3477037168605043,2.9296870000000004,-0.8944528181599999,3.1239700503894586e-05,2.992248097588687e-05,9.795956156889555e-06,128000.0,0.010437053673976276
10 补测一组功放打开的，用做备用,capture_20260703_150144_231.csv,616000.0,3.52515217087544e-05,3.555930085291216e-05,0.3507358300357574,2.441406,-0.88851532032,2.415315237139452e-05,3.1178039007762256e-05,1.2552686682921528e-05,128000.0,0.010187274233631628
