file,strongest_frequency_hz,strongest_frequency_khz,strongest_power,std_mv,ptp_mv
capture_20260703_144100_529.csv,127000.0,127.0,0.008887510208063769,0.34530689886991,2.9296870000000004
capture_20260703_144100_752.csv,128000.0,128.0,0.008743219008774068,0.3472287005350785,2.9296870000000004
capture_20260703_144100_944.csv,127000.0,127.0,0.008787106380406803,0.34702649801368135,2.9296870000000004
capture_20260703_144101_150.csv,127000.0,127.0,0.009411586172252576,0.34614277496215673,2.441406
capture_20260703_144101_353.csv,128000.0,128.0,0.008817303817570489,0.3479974285554076,2.9296870000000004
capture_20260703_144101_556.csv,128000.0,128.0,0.010183587526066002,0.34474905036351805,2.9296870000000004
capture_20260703_144101_742.csv,128000.0,128.0,0.011073095465837197,0.3464266287727007,2.9296870000000004
capture_20260703_144101_952.csv,128000.0,128.0,0.010924467119651497,0.3448468246496647,2.441406
capture_20260703_144102_154.csv,128000.0,128.0,0.010340193886016095,0.3452619255333066,2.441406
capture_20260703_144102_356.csv,128000.0,128.0,0.010006408532574248,0.34740726590974724,2.9296870000000004
capture_20260703_144102_545.csv,128000.0,128.0,0.00894441416510118,0.3445754471683838,2.9296870000000004
capture_20260703_144102_751.csv,128000.0,128.0,0.009288617326238254,0.3461525105424439,2.9296870000000004
capture_20260703_144102_942.csv,127000.0,127.0,0.009838756169822048,0.34733437888691054,2.441406
capture_20260703_144103_155.csv,128000.0,128.0,0.009784588317434633,0.34478720276611124,2.441406
capture_20260703_144103_351.csv,128000.0,128.0,0.009902905953067495,0.34821601339551284,2.9296870000000004
capture_20260703_144103_543.csv,2000.0,2.0,0.11951487350531226,0.6807483823921545,4.394531
capture_20260703_144103_751.csv,127000.0,127.0,0.009604221401081027,0.35252622573001696,2.9296870000000004
capture_20260703_144103_942.csv,128000.0,128.0,0.010118787061689734,0.3692152797832693,2.9296870000000004
capture_20260703_144104_154.csv,6000.0,6.0,0.7935309724717534,5.199444879482442,22.949218000000002
capture_20260703_144104_346.csv,128000.0,128.0,0.00962824383656983,0.3409778303634021,2.441406
capture_20260703_144104_555.csv,127000.0,127.0,0.010050333446362381,0.34051403494916077,2.441406
capture_20260703_144104_747.csv,128000.0,128.0,0.00938953108693413,0.33959046947325644,2.441406
capture_20260703_144104_952.csv,128000.0,128.0,0.010835273080452866,0.3392141161873805,2.441406
capture_20260703_144105_146.csv,127000.0,127.0,0.010499997961275723,0.33849969610332153,2.441406
capture_20260703_144105_355.csv,128000.0,128.0,0.01033702600065323,0.3362865341012578,2.441406
capture_20260703_144105_543.csv,128000.0,128.0,0.009368481285427825,0.3407951831069889,2.441406
capture_20260703_144105_746.csv,128000.0,128.0,0.0073311688708288915,0.337552936648255,2.441406
capture_20260703_144105_949.csv,128000.0,128.0,0.01109600449220222,0.3421214187734722,2.441406
capture_20260703_144106_142.csv,128000.0,128.0,0.010004224452307968,0.3394214849024256,2.441406
capture_20260703_144106_352.csv,128000.0,128.0,0.008742364131327859,0.3382185955595089,2.441406
capture_20260703_144106_544.csv,127000.0,127.0,0.010819314790487547,0.3391382150212841,1.953125
capture_20260703_144106_753.csv,128000.0,128.0,0.010031933324383716,0.33922067304262904,1.953125
capture_20260703_144106_942.csv,128000.0,128.0,0.008947320880543126,0.3366124388964018,2.441406
capture_20260703_144107_148.csv,128000.0,128.0,0.008587906023427148,0.33930435643204604,2.441406
capture_20260703_144107_345.csv,127000.0,127.0,0.01067202608506284,0.336070740560972,2.441406
capture_20260703_144107_550.csv,127000.0,127.0,0.010409822582292469,0.3406276954110819,2.441406
capture_20260703_144107_744.csv,127000.0,127.0,0.010856081577123675,0.3411216975628627,2.441406
capture_20260703_144107_954.csv,127000.0,127.0,0.00990711616710085,0.3395869303564552,2.929688
capture_20260703_144108_146.csv,128000.0,128.0,0.010560865057152374,0.3399696454367298,2.441406
capture_20260703_144108_341.csv,127000.0,127.0,0.00990444942193433,0.33889171478161917,2.441406
capture_20260703_144108_549.csv,128000.0,128.0,0.009581619679840477,0.33776115091042597,2.441406
capture_20260703_144108_741.csv,128000.0,128.0,0.01020438547258135,0.3371895830681438,2.9296870000000004
capture_20260703_144108_952.csv,128000.0,128.0,0.01073014342858717,0.33737886481297774,2.441406
capture_20260703_144109_143.csv,127000.0,127.0,0.010892911382739552,0.3383121753005116,2.441406
capture_20260703_144109_356.csv,128000.0,128.0,0.00903581030389762,0.34421368485171655,2.441406
capture_20260703_144109_551.csv,127000.0,127.0,0.01000941943632664,0.33998467220349493,2.9296870000000004
capture_20260703_144109_745.csv,128000.0,128.0,0.00988209585156803,0.33705785961406953,2.441406
capture_20260703_144109_956.csv,129000.0,129.0,0.004603780209607225,0.33696946949373435,1.953125
capture_20260703_144110_153.csv,128000.0,128.0,0.008183074659927323,0.3434314515691507,2.441406
capture_20260703_144110_349.csv,128000.0,128.0,0.00967753698197305,0.3452084439419264,2.9296870000000004
capture_20260703_144110_547.csv,127000.0,127.0,0.009554200188279661,0.34148742548228,2.9296870000000004
capture_20260703_144110_752.csv,128000.0,128.0,0.01060369534724258,0.34119163824797766,2.441406
capture_20260703_144110_953.csv,128000.0,128.0,0.010587265311505336,0.3415402222936605,2.441406
capture_20260703_144111_142.csv,128000.0,128.0,0.010322186271017789,0.33691851613539137,2.441406
capture_20260703_144111_348.csv,128000.0,128.0,0.009994911918737878,0.33936547964258856,2.441406
capture_20260703_144111_554.csv,128000.0,128.0,0.010539888245796011,0.34114609351061825,2.441406
capture_20260703_144111_744.csv,127000.0,127.0,0.00906447817336945,0.3424527447795932,2.441406
capture_20260703_144111_945.csv,127000.0,127.0,0.009070839541300134,0.33978064434601785,2.441406
capture_20260703_144112_149.csv,128000.0,128.0,0.009939840956298972,0.3435936488677978,3.417969
capture_20260703_144112_341.csv,128000.0,128.0,0.009071757526859564,0.34183394715794857,2.441406
capture_20260703_144112_553.csv,127000.0,127.0,0.009422980559130432,0.33972114811526205,2.441406
capture_20260703_144112_750.csv,128000.0,128.0,0.008324850961355063,0.3395396669928983,2.441406
capture_20260703_144112_943.csv,128000.0,128.0,0.008221006059099511,0.3428322627716494,2.9296870000000004
capture_20260703_144113_148.csv,128000.0,128.0,0.008711372677895547,0.34129623645094315,2.441406
capture_20260703_144113_343.csv,128000.0,128.0,0.010305403715620186,0.3394696874627391,2.441406
capture_20260703_144113_548.csv,127000.0,127.0,0.008681504997805272,0.3408387014943248,1.953125
capture_20260703_144113_748.csv,127000.0,127.0,0.009575055232402981,0.33749668475184247,1.953125
capture_20260703_144113_958.csv,128000.0,128.0,0.010428698770548054,0.34028862461121856,1.953125
capture_20260703_144114_145.csv,128000.0,128.0,0.010301419877920177,0.3387055629937687,1.953125
capture_20260703_144114_353.csv,127000.0,127.0,0.009948466100251338,0.33815248208994175,2.9296870000000004
capture_20260703_144114_543.csv,128000.0,128.0,0.01068120514500579,0.37037451934170235,6.835937
capture_20260703_144114_750.csv,128000.0,128.0,0.009184971796472138,0.34856727126069037,2.9296870000000004
capture_20260703_144114_945.csv,127000.0,127.0,0.010831983381544175,0.3654173410646502,6.835937
capture_20260703_144115_147.csv,128000.0,128.0,0.009829858492265945,0.34811171737124913,2.441406
capture_20260703_144115_349.csv,127000.0,127.0,0.011629248939173656,0.34652827208410636,3.4179690000000003
capture_20260703_144115_542.csv,128000.0,128.0,0.009627941141760535,0.3467430763619098,3.4179690000000003
capture_20260703_144115_757.csv,128000.0,128.0,0.009015866662227751,0.361400283261883,5.859375
capture_20260703_144115_947.csv,128000.0,128.0,0.009875711642704987,0.35223431557361357,5.859375
capture_20260703_144116_146.csv,127000.0,127.0,0.00935141500543048,0.34768066215729126,5.371094
capture_20260703_144116_342.csv,127000.0,127.0,0.009581291073610046,0.3513076504576614,4.882813
