group,file,std_mv,ptp_mv,icd_fixed_608k,peak_128_hz,peak_128_amp_mv,peak_608_hz,peak_608_amp_mv,band_1_20k,band_45_65k,band_120_136k,band_1_30_1_43m,band_1_0_3_3m
10 补测一组功放打开的，用做备用,capture_20260703_150144_030.csv,0.3477037168605043,2.9296870000000004,2.972038906932314e-05,128000.0,0.10216189932639407,574000.0,0.010812252372267184,2.5699197090743674e-05,1.8389188532743548e-05,0.0018501630191457455,9.795956156889555e-06,1.0336167529931378e-05
10 补测一组功放打开的，用做备用,capture_20260703_150144_231.csv,0.3507358300357574,2.441406,3.555930085291216e-05,128000.0,0.10093202778915931,616000.0,0.01242041504946256,4.099263056484656e-05,2.2283189476575085e-05,0.0018795282559014002,1.2552686682921528e-05,1.2094481039283949e-05
10 补测一组功放打开的，用做备用,capture_20260703_150144_437.csv,0.3469114205101981,2.9296870000000004,3.2892997267555573e-05,128000.0,0.09996194246392882,616000.0,0.010211479723803032,1.4761521033076587e-05,2.2167928432837917e-05,0.0019252900615061351,1.110117682709046e-05,1.1242469655986756e-05
10 补测一组功放打开的，用做备用,capture_20260703_150144_641.csv,0.35062887134809273,2.9296870000000004,2.977378531494886e-05,128000.0,0.10432040766132979,574000.0,0.012151065379908281,4.4655599514909855e-05,1.48982610863272e-05,0.0019492745866062878,1.0483269812886825e-05,1.0543065036395e-05
10 补测一组功放打开的，用做备用,capture_20260703_150144_843.csv,0.34981656368634606,2.9296870000000004,3.2978365131030034e-05,128000.0,0.10528769372380234,598000.0,0.009130812030064852,2.8952182804971044e-05,3.585564709210715e-05,0.002025178635675066,1.099480124442558e-05,1.1446471111463849e-05
10 补测一组功放打开的，用做备用,capture_20260703_150145_036.csv,0.35048285803608203,2.9296870000000004,3.446550150403301e-05,128000.0,0.10217539350538059,552000.0,0.011352482632955102,1.7151493960955695e-05,3.4633057970257696e-05,0.0019968900451426182,1.3170757122001022e-05,1.1332677893533631e-05
10 补测一组功放打开的，用做备用,capture_20260703_150145_238.csv,0.3505455922146578,3.417968,3.113838642167792e-05,128000.0,0.10532521820446852,616000.0,0.013878718528122527,1.8446913368690955e-05,1.6212011447987723e-05,0.0019693601048908983,9.339915589732815e-06,1.09486149886743e-05
10 补测一组功放打开的，用做备用,capture_20260703_150145_430.csv,0.35248138307676014,2.9296870000000004,3.475327354871115e-05,128000.0,0.10167126196957528,574000.0,0.014882247986955364,4.598393603464519e-05,1.4047744200476739e-05,0.0019314525220022897,9.939361500906235e-06,1.138582163308058e-05
10 补测一组功放打开的，用做备用,capture_20260703_150145_642.csv,0.3480384815881701,2.9296870000000004,3.3516239968477844e-05,128000.0,0.0996063488143552,616000.0,0.013295773264229495,1.651211957851208e-05,2.2988910969880944e-05,0.0018352755849909723,1.2162243632316593e-05,1.1169507109659045e-05
10 补测一组功放打开的，用做备用,capture_20260703_150145_836.csv,0.34967642560494555,3.417968,3.5711667089900555e-05,128000.0,0.10408132054143851,616000.0,0.015581343943632753,2.847113703939888e-05,1.9789212126021355e-05,0.001922264732630814,1.181684600641914e-05,1.1789340368905175e-05
10 补测一组功放打开的，用做备用,capture_20260703_150146_031.csv,0.348779044926471,2.441406,3.0257747684370663e-05,128000.0,0.10375926595866687,616000.0,0.013532819217662003,2.9279304808559776e-05,1.1693556463981225e-05,0.0019603109346391233,1.1054177531764112e-05,1.0921817268933068e-05
10 补测一组功放打开的，用做备用,capture_20260703_150146_231.csv,0.35376248653596826,2.9296870000000004,3.0836880776845e-05,128000.0,0.09876431050254884,616000.0,0.012475745765433798,2.8964230791557736e-05,1.1328129550487012e-05,0.0018499957478061119,9.98727330945053e-06,1.084350042226928e-05
10 补测一组功放打开的，用做备用,capture_20260703_150146_439.csv,0.347043445957776,2.9296870000000004,3.137586429325113e-05,128000.0,0.09945614762366067,574000.0,0.011860481707418533,1.6664663375752166e-05,1.2307931838006698e-05,0.0018740675945704956,1.1334453800660327e-05,1.0539788606795888e-05
10 补测一组功放打开的，用做备用,capture_20260703_150146_636.csv,0.34789696021051375,3.417968,3.280538513968353e-05,128000.0,0.1001304394176683,596000.0,0.011761062723220141,3.0246173351316295e-05,3.05003427852028e-05,0.001940058545869613,1.5301716343906415e-05,1.1252618436320583e-05
10 补测一组功放打开的，用做备用,capture_20260703_150146_831.csv,0.35371998579155556,2.9296870000000004,3.2663982199601385e-05,128000.0,0.10782775259207272,616000.0,0.010983612055306242,5.6756328887765055e-05,1.4923968361690486e-05,0.002058601610503054,9.748603578484102e-06,1.1275649567440946e-05
10 补测一组功放打开的，用做备用,capture_20260703_150147_037.csv,0.3486490810737793,2.9296870000000004,3.275560019265223e-05,128000.0,0.10203319600564693,574000.0,0.009609890089963151,2.9035143033538293e-05,1.9476687238851176e-05,0.001959314615627087,1.1752087339823081e-05,1.1741863243327074e-05
10 补测一组功放打开的，用做备用,capture_20260703_150147_245.csv,0.35425780550418673,3.417968,3.3192673427357034e-05,128000.0,0.10418491655813464,614000.0,0.01171116274703745,2.5194489476438652e-05,1.5942791263360553e-05,0.0020276646753888254,1.0020827944821649e-05,1.1693665213540808e-05
10 补测一组功放打开的，用做备用,capture_20260703_150147_437.csv,0.3475305169520316,2.9296870000000004,3.0235037264507104e-05,128000.0,0.10349289413024464,616000.0,0.011504963783237676,3.6098465769861826e-05,1.830534872664093e-05,0.001950850834092834,1.0175317767495953e-05,1.0361110160564511e-05
