cycle_id,status,probe_file,treatment_file,probe_captured_at,treatment_captured_at,probe_vpp,treatment_vpp,frequency_hz,burst_cycles,inter_burst_delay_ms,cycle_period_ms,probe_quality_db,uhe_db,uhe_active_band_count,uhe_confirmed,be_db,safe_uhe_increment,cumulative_safe_uhe_dose,decision_state,decision_label,note
27,complete,probe/cycle_000027.csv,treatment/cycle_000027.csv,2026-07-16T15:54:33.284,2026-07-16T15:54:33.704,3,7,612000,6000,200,1000,53.3772,0.574039,0,False,-3.4855,0,0,not_open,未达到开窗剂量,
28,complete,probe/cycle_000028.csv,treatment/cycle_000028.csv,2026-07-16T15:54:34.336,2026-07-16T15:54:34.775,3,7,612000,6000,200,1000,56.3325,2.10855,1,False,-3.54306,0,0,not_open,未达到开窗剂量,
29,complete,probe/cycle_000029.csv,treatment/cycle_000029.csv,2026-07-16T15:54:35.329,2026-07-16T15:54:35.752,3,7,612000,6000,200,1000,57.1468,-2.18197,0,False,-4.18109,0,0,not_open,未达到开窗剂量,
30,complete,probe/cycle_000030.csv,treatment/cycle_000030.csv,2026-07-16T15:54:36.382,2026-07-16T15:54:36.821,3,7,612000,6000,200,1000,56.3771,-0.868961,0,False,-3.29329,0,0,not_open,未达到开窗剂量,
31,complete,probe/cycle_000031.csv,treatment/cycle_000031.csv,2026-07-16T15:54:37.374,2026-07-16T15:54:37.796,3,7,612000,6000,200,1000,57.4887,-0.747861,0,False,-2.66396,0,0,not_open,未达到开窗剂量,
32,complete,probe/cycle_000032.csv,treatment/cycle_000032.csv,2026-07-16T15:54:38.407,2026-07-16T15:54:38.848,3,7,612000,6000,200,1000,57.8304,-0.801121,0,False,-3.37015,0,0,not_open,未达到开窗剂量,
33,complete,probe/cycle_000033.csv,treatment/cycle_000033.csv,2026-07-16T15:54:39.463,2026-07-16T15:54:39.904,3,7,612000,6000,200,1000,49.2204,-1.06045,0,False,-4.01378,0,0,not_open,未达到开窗剂量,
34,complete,probe/cycle_000034.csv,treatment/cycle_000034.csv,2026-07-16T15:54:40.532,2026-07-16T15:54:40.957,3,7,612000,6000,200,1000,54.6755,-5.16763,0,False,-3.43731,0,0,not_open,未达到开窗剂量,
35,complete,probe/cycle_000035.csv,treatment/cycle_000035.csv,2026-07-16T15:54:41.585,2026-07-16T15:54:42.024,3,7,612000,6000,200,1000,52.3877,0.213335,0,False,-3.02851,0,0,not_open,未达到开窗剂量,
36,complete,probe/cycle_000036.csv,treatment/cycle_000036.csv,2026-07-16T15:54:42.591,2026-07-16T15:54:43.019,3,7,612000,6000,200,1000,53.4718,-1.81584,0,False,-3.61779,0,0,not_open,未达到开窗剂量,
37,complete,probe/cycle_000037.csv,treatment/cycle_000037.csv,2026-07-16T15:54:43.648,2026-07-16T15:54:44.087,3,7,612000,6000,200,1000,56.5259,0.554798,1,False,-3.55714,0,0,not_open,未达到开窗剂量,
38,complete,probe/cycle_000038.csv,treatment/cycle_000038.csv,2026-07-16T15:54:44.652,2026-07-16T15:54:45.092,3,7,612000,6000,200,1000,57.829,-5.29386,0,False,-4.33164,0,0,not_open,未达到开窗剂量,
39,complete,probe/cycle_000039.csv,treatment/cycle_000039.csv,2026-07-16T15:54:45.657,2026-07-16T15:54:46.099,3,7,612000,6000,200,1000,56.7501,-1.94289,0,False,-4.01918,0,0,not_open,未达到开窗剂量,
40,complete,probe/cycle_000040.csv,treatment/cycle_000040.csv,2026-07-16T15:54:46.649,2026-07-16T15:54:47.072,3,7,612000,6000,200,1000,44.516,-2.0941,0,False,-3.51362,0,0,not_open,未达到开窗剂量,
41,complete,probe/cycle_000041.csv,treatment/cycle_000041.csv,2026-07-16T15:54:47.701,2026-07-16T15:54:48.128,3,7,612000,6000,200,1000,49.6457,-0.0374575,0,False,-3.68902,0,0,not_open,未达到开窗剂量,
42,complete,probe/cycle_000042.csv,treatment/cycle_000042.csv,2026-07-16T15:54:48.755,2026-07-16T15:54:49.192,3,7,612000,6000,200,1000,55.8405,0.601783,0,False,-2.96531,0,0,not_open,未达到开窗剂量,
43,complete,probe/cycle_000043.csv,treatment/cycle_000043.csv,2026-07-16T15:54:49.756,2026-07-16T15:54:50.182,3,7,612000,6000,200,1000,54.2207,-1.90657,0,False,-2.7741,0,0,not_open,未达到开窗剂量,
44,complete,probe/cycle_000044.csv,treatment/cycle_000044.csv,2026-07-16T15:54:50.796,2026-07-16T15:54:51.219,3,7,612000,6000,200,1000,56.0206,-0.716131,0,False,-4.28263,0,0,not_open,未达到开窗剂量,
45,complete,probe/cycle_000045.csv,treatment/cycle_000045.csv,2026-07-16T15:54:51.854,2026-07-16T15:54:52.277,3,7,612000,6000,200,1000,53.4481,-2.65275,0,False,-3.95931,0,0,not_open,未达到开窗剂量,
