cycle_id,status,probe_file,treatment_file,probe_captured_at,treatment_captured_at,probe_vpp,treatment_vpp,frequency_hz,burst_cycles,inter_burst_delay_ms,cycle_period_ms,probe_quality_db,uhe_db,uhe_active_band_count,uhe_confirmed,be_db,safe_uhe_increment,cumulative_safe_uhe_dose,decision_state,decision_label,note
26,complete,probe/cycle_000026.csv,treatment/cycle_000026.csv,2026-07-12T17:44:13.100,2026-07-12T17:44:13.576,4.5,7,612000,6000,200,1000,47.8904,0.35918,0,False,0.202524,0,0,not_open,未达到开窗剂量,
27,complete,probe/cycle_000027.csv,treatment/cycle_000027.csv,2026-07-12T17:44:14.115,2026-07-12T17:44:14.589,4.5,7,612000,6000,200,1000,47.6975,-1.11111,0,False,-0.928245,0,0,not_open,未达到开窗剂量,
28,complete,probe/cycle_000028.csv,treatment/cycle_000028.csv,2026-07-12T17:44:15.125,2026-07-12T17:44:15.595,4.5,7,612000,6000,200,1000,47.7601,-1.42888,0,False,-0.426082,0,0,not_open,未达到开窗剂量,
29,complete,probe/cycle_000029.csv,treatment/cycle_000029.csv,2026-07-12T17:44:16.146,2026-07-12T17:44:16.617,4.5,7,612000,6000,200,1000,48.3396,-0.6334,0,False,-0.37844,0,0,not_open,未达到开窗剂量,
30,complete,probe/cycle_000030.csv,treatment/cycle_000030.csv,2026-07-12T17:44:17.146,2026-07-12T17:44:17.614,4.5,7,612000,6000,200,1000,47.9762,-0.634779,0,False,0.0699653,0,0,not_open,未达到开窗剂量,
31,complete,probe/cycle_000031.csv,treatment/cycle_000031.csv,2026-07-12T17:44:18.207,2026-07-12T17:44:18.674,4.5,7,612000,6000,200,1000,48.6491,0.954197,0,False,-0.122562,0,0,not_open,未达到开窗剂量,
32,complete,probe/cycle_000032.csv,treatment/cycle_000032.csv,2026-07-12T17:44:19.212,2026-07-12T17:44:19.688,4.5,7,612000,6000,200,1000,47.7681,-0.358535,0,False,-0.168487,0,0,not_open,未达到开窗剂量,
33,complete,probe/cycle_000033.csv,treatment/cycle_000033.csv,2026-07-12T17:44:20.226,2026-07-12T17:44:20.700,4.5,7,612000,6000,200,1000,48.179,-0.752867,0,False,-0.209804,0,0,not_open,未达到开窗剂量,
34,complete,probe/cycle_000034.csv,treatment/cycle_000034.csv,2026-07-12T17:44:21.282,2026-07-12T17:44:21.758,4.5,7,612000,6000,200,1000,47.9455,0.963208,0,False,0.947394,0,0,not_open,未达到开窗剂量,
35,complete,probe/cycle_000035.csv,treatment/cycle_000035.csv,2026-07-12T17:44:22.293,2026-07-12T17:44:22.772,4.5,7,612000,6000,200,1000,48.0941,-1.31107,0,False,0.12023,0,0,not_open,未达到开窗剂量,
36,complete,probe/cycle_000036.csv,treatment/cycle_000036.csv,2026-07-12T17:44:23.312,2026-07-12T17:44:23.787,4.5,7,612000,6000,200,1000,47.8225,0.531569,0,False,0.0476915,0,0,not_open,未达到开窗剂量,
