cycle_id,status,probe_file,treatment_file,probe_captured_at,treatment_captured_at,probe_vpp,treatment_vpp,frequency_hz,burst_cycles,inter_burst_delay_ms,cycle_period_ms,probe_quality_db,uhe_db,uhe_active_band_count,uhe_confirmed,be_db,safe_uhe_increment,cumulative_safe_uhe_dose,decision_state,decision_label,note
1,complete,probe/cycle_000001.csv,treatment/cycle_000001.csv,2026-07-16T15:38:47.501,2026-07-16T15:38:47.904,3,7,612000,6000,200,1000,43.0157,5.44016,1,False,-2.53416,0,0,not_open,未达到开窗剂量,
2,complete,probe/cycle_000002.csv,treatment/cycle_000002.csv,2026-07-16T15:38:48.566,2026-07-16T15:38:48.993,3,7,612000,6000,200,1000,58.8223,2.89257,2,False,-3.15196,0,0,not_open,未达到开窗剂量,
3,complete,probe/cycle_000003.csv,treatment/cycle_000003.csv,2026-07-16T15:38:49.604,2026-07-16T15:38:50.047,3,7,612000,6000,200,1000,53.4579,3.16275,2,False,-2.85762,0,0,not_open,未达到开窗剂量,
4,complete,probe/cycle_000004.csv,treatment/cycle_000004.csv,2026-07-16T15:38:50.675,2026-07-16T15:38:51.116,3,7,612000,6000,200,1000,47.8757,2.47635,2,False,-3.25323,0,0,not_open,未达到开窗剂量,
5,complete,probe/cycle_000005.csv,treatment/cycle_000005.csv,2026-07-16T15:38:51.683,2026-07-16T15:38:52.108,3,7,612000,6000,200,1000,53.9138,2.23693,1,False,-2.20528,0,0,not_open,未达到开窗剂量,
6,complete,probe/cycle_000006.csv,treatment/cycle_000006.csv,2026-07-16T15:38:52.723,2026-07-16T15:38:53.131,3,7,612000,6000,200,1000,56.4019,1.89166,1,False,-1.92187,0,0,not_open,未达到开窗剂量,
7,complete,probe/cycle_000007.csv,treatment/cycle_000007.csv,2026-07-16T15:38:53.741,2026-07-16T15:38:54.166,3,7,612000,6000,200,1000,54.5797,2.22484,1,False,-3.68829,0,0,not_open,未达到开窗剂量,
8,complete,probe/cycle_000008.csv,treatment/cycle_000008.csv,2026-07-16T15:38:54.795,2026-07-16T15:38:55.231,3,7,612000,6000,200,1000,58.6764,-2.74129,0,False,-2.94616,0,0,not_open,未达到开窗剂量,
9,complete,probe/cycle_000009.csv,treatment/cycle_000009.csv,2026-07-16T15:38:55.796,2026-07-16T15:38:56.237,3,7,612000,6000,200,1000,47.2801,0.58442,0,False,-3.63315,0,0,not_open,未达到开窗剂量,
10,complete,probe/cycle_000010.csv,treatment/cycle_000010.csv,2026-07-16T15:38:56.803,2026-07-16T15:38:57.246,3,7,612000,6000,200,1000,52.3618,4.86786,2,False,-3.16607,0,0,not_open,未达到开窗剂量,
11,complete,probe/cycle_000011.csv,treatment/cycle_000011.csv,2026-07-16T15:38:57.814,2026-07-16T15:38:58.256,3,7,612000,6000,200,1000,53.1614,0.672994,1,False,-3.30177,0,0,not_open,未达到开窗剂量,
12,complete,probe/cycle_000012.csv,treatment/cycle_000012.csv,2026-07-16T15:38:58.818,2026-07-16T15:38:59.257,3,7,612000,6000,200,1000,52.7627,2.18785,1,False,-3.12681,0,0,not_open,未达到开窗剂量,
13,complete,probe/cycle_000013.csv,treatment/cycle_000013.csv,2026-07-16T15:38:59.827,2026-07-16T15:39:00.254,3,7,612000,6000,200,1000,56.439,0.168691,0,False,-2.94794,0,0,not_open,未达到开窗剂量,
14,complete,probe/cycle_000014.csv,treatment/cycle_000014.csv,2026-07-16T15:39:00.882,2026-07-16T15:39:01.301,3,7,612000,6000,200,1000,55.7448,2.22944,1,False,-2.97185,0,0,not_open,未达到开窗剂量,
15,complete,probe/cycle_000015.csv,treatment/cycle_000015.csv,2026-07-16T15:39:01.928,2026-07-16T15:39:02.370,3,7,612000,6000,200,1000,53.2939,-1.96815,0,False,-3.32672,0,0,not_open,未达到开窗剂量,
16,complete,probe/cycle_000016.csv,treatment/cycle_000016.csv,2026-07-16T15:39:02.937,2026-07-16T15:39:03.376,3,7,612000,6000,200,1000,52.6441,2.15633,1,False,-2.99113,0,0,not_open,未达到开窗剂量,
17,complete,probe/cycle_000017.csv,treatment/cycle_000017.csv,2026-07-16T15:39:03.945,2026-07-16T15:39:04.383,3,7,612000,6000,200,1000,57.5363,0.159861,0,False,-3.25148,0,0,not_open,未达到开窗剂量,
18,complete,probe/cycle_000018.csv,treatment/cycle_000018.csv,2026-07-16T15:39:04.965,2026-07-16T15:39:05.403,3,7,612000,6000,200,1000,52.5026,5.94225,1,False,-3.72073,0,0,not_open,未达到开窗剂量,
19,complete,probe/cycle_000019.csv,treatment/cycle_000019.csv,2026-07-16T15:39:05.967,2026-07-16T15:39:06.408,3,7,612000,6000,200,1000,54.2539,1.52337,1,False,-2.95491,0,0,not_open,未达到开窗剂量,
20,complete,probe/cycle_000020.csv,treatment/cycle_000020.csv,2026-07-16T15:39:06.972,2026-07-16T15:39:07.391,3,7,612000,6000,200,1000,52.6056,0.323588,1,False,-4.28666,0,0,not_open,未达到开窗剂量,
21,complete,probe/cycle_000021.csv,treatment/cycle_000021.csv,2026-07-16T15:39:08.024,2026-07-16T15:39:08.463,3,7,612000,6000,200,1000,53.1604,-0.114349,1,False,-3.30356,0,0,not_open,未达到开窗剂量,
22,complete,probe/cycle_000022.csv,treatment/cycle_000022.csv,2026-07-16T15:39:09.029,2026-07-16T15:39:09.455,3,7,612000,6000,200,1000,51.8171,-2.46074,0,False,-3.18052,0,0,not_open,未达到开窗剂量,
23,complete,probe/cycle_000023.csv,treatment/cycle_000023.csv,2026-07-16T15:39:10.067,2026-07-16T15:39:10.492,3,7,612000,6000,200,1000,60.2081,-3.10955,0,False,-4.16699,0,0,not_open,未达到开窗剂量,
24,complete,probe/cycle_000024.csv,treatment/cycle_000024.csv,2026-07-16T15:39:11.109,2026-07-16T15:39:11.548,3,7,612000,6000,200,1000,50.8771,2.61114,2,False,-2.37622,0,0,not_open,未达到开窗剂量,
25,complete,probe/cycle_000025.csv,treatment/cycle_000025.csv,2026-07-16T15:39:12.177,2026-07-16T15:39:12.601,3,7,612000,6000,200,1000,56.0276,5.62949,1,False,-2.39328,0,0,not_open,未达到开窗剂量,
26,complete,probe/cycle_000026.csv,treatment/cycle_000026.csv,2026-07-16T15:39:13.217,2026-07-16T15:39:13.658,3,7,612000,6000,200,1000,54.6113,2.00754,1,False,-2.95402,0,0,not_open,未达到开窗剂量,
27,complete,probe/cycle_000027.csv,treatment/cycle_000027.csv,2026-07-16T15:39:14.291,2026-07-16T15:39:14.729,3,7,612000,6000,200,1000,58.2832,5.80967,2,False,-2.67553,0,0,not_open,未达到开窗剂量,
28,complete,probe/cycle_000028.csv,treatment/cycle_000028.csv,2026-07-16T15:39:15.280,2026-07-16T15:39:15.704,3,7,612000,6000,200,1000,49.3969,2.68585,1,False,-3.3877,0,0,not_open,未达到开窗剂量,
29,complete,probe/cycle_000029.csv,treatment/cycle_000029.csv,2026-07-16T15:39:16.329,2026-07-16T15:39:16.755,3,7,612000,6000,200,1000,54.8639,7.45458,2,False,-2.0169,0,0,not_open,未达到开窗剂量,
30,complete,probe/cycle_000030.csv,treatment/cycle_000030.csv,2026-07-16T15:39:17.382,2026-07-16T15:39:17.805,3,7,612000,6000,200,1000,50.2764,3.9649,1,False,-3.7635,0,0,not_open,未达到开窗剂量,
31,complete,probe/cycle_000031.csv,treatment/cycle_000031.csv,2026-07-16T15:39:18.433,2026-07-16T15:39:18.874,3,7,612000,6000,200,1000,56.9821,0.425927,0,False,-3.15912,0,0,not_open,未达到开窗剂量,
32,complete,probe/cycle_000032.csv,treatment/cycle_000032.csv,2026-07-16T15:39:19.441,2026-07-16T15:39:19.864,3,7,612000,6000,200,1000,55.0052,5.33791,2,False,-3.53184,0,0,not_open,未达到开窗剂量,
33,complete,probe/cycle_000033.csv,treatment/cycle_000033.csv,2026-07-16T15:39:20.491,2026-07-16T15:39:20.918,3,7,612000,6000,200,1000,52.1964,-1.77407,0,False,-3.38698,0,0,not_open,未达到开窗剂量,
34,complete,probe/cycle_000034.csv,treatment/cycle_000034.csv,2026-07-16T15:39:21.533,2026-07-16T15:39:21.959,3,7,612000,6000,200,1000,51.0332,-4.16348,0,False,-3.71275,0,0,not_open,未达到开窗剂量,
35,complete,probe/cycle_000035.csv,treatment/cycle_000035.csv,2026-07-16T15:39:22.574,2026-07-16T15:39:23.014,3,7,612000,6000,200,1000,59.3006,-0.614632,0,False,-2.673,0,0,not_open,未达到开窗剂量,
36,complete,probe/cycle_000036.csv,treatment/cycle_000036.csv,2026-07-16T15:39:23.642,2026-07-16T15:39:24.082,3,7,612000,6000,200,1000,54.5077,0.979709,1,False,-2.71114,0,0,not_open,未达到开窗剂量,
37,complete,probe/cycle_000037.csv,treatment/cycle_000037.csv,2026-07-16T15:39:24.649,2026-07-16T15:39:25.073,3,7,612000,6000,200,1000,50.378,-2.28846,0,False,-3.61348,0,0,not_open,未达到开窗剂量,
38,complete,probe/cycle_000038.csv,treatment/cycle_000038.csv,2026-07-16T15:39:25.698,2026-07-16T15:39:26.136,3,7,612000,6000,200,1000,54.4297,-4.55664,0,False,-4.40654,0,0,not_open,未达到开窗剂量,
39,complete,probe/cycle_000039.csv,treatment/cycle_000039.csv,2026-07-16T15:39:26.699,2026-07-16T15:39:27.134,3,7,612000,6000,200,1000,57.2371,-1.90548,0,False,-4.29777,0,0,not_open,未达到开窗剂量,
40,complete,probe/cycle_000040.csv,treatment/cycle_000040.csv,2026-07-16T15:39:27.699,2026-07-16T15:39:28.141,3,7,612000,6000,200,1000,52.7611,-2.17791,0,False,-3.80184,0,0,not_open,未达到开窗剂量,
41,complete,probe/cycle_000041.csv,treatment/cycle_000041.csv,2026-07-16T15:39:28.711,2026-07-16T15:39:29.096,3,7,612000,6000,200,1000,53.9187,-0.606046,0,False,-1.81781,0,0,not_open,未达到开窗剂量,
