cycle_id,status,probe_file,treatment_file,probe_captured_at,treatment_captured_at,probe_vpp,treatment_vpp,frequency_hz,burst_cycles,inter_burst_delay_ms,cycle_period_ms,probe_quality_db,uhe_db,uhe_active_band_count,uhe_confirmed,be_db,safe_uhe_increment,cumulative_safe_uhe_dose,decision_state,decision_label,note
26,complete,probe/cycle_000026.csv,treatment/cycle_000026.csv,2026-07-16T15:58:51.067,2026-07-16T15:58:51.505,3,7,612000,6000,200,1000,54.4127,7.83697,3,True,-2.9604,4.08185,55.3013,not_open,未达到开窗剂量,
27,complete,probe/cycle_000027.csv,treatment/cycle_000027.csv,2026-07-16T15:58:52.056,2026-07-16T15:58:52.499,3,7,612000,6000,200,1000,54.4931,6.81616,3,True,-3.71374,2.80888,58.1102,not_open,未达到开窗剂量,
28,complete,probe/cycle_000028.csv,treatment/cycle_000028.csv,2026-07-16T15:58:53.128,2026-07-16T15:58:53.566,3,7,612000,6000,200,1000,54.1509,7.66903,2,False,-3.58766,0,58.1102,not_open,未达到开窗剂量,
29,complete,probe/cycle_000029.csv,treatment/cycle_000029.csv,2026-07-16T15:58:54.131,2026-07-16T15:58:54.568,3,7,612000,6000,200,1000,51.7959,3.00453,2,False,-3.20141,0,58.1102,not_open,未达到开窗剂量,
30,complete,probe/cycle_000030.csv,treatment/cycle_000030.csv,2026-07-16T15:58:55.134,2026-07-16T15:58:55.574,3,7,612000,6000,200,1000,52.8585,10.91,3,True,-2.85638,10.3357,68.4459,not_open,未达到开窗剂量,
31,complete,probe/cycle_000031.csv,treatment/cycle_000031.csv,2026-07-16T15:58:56.136,2026-07-16T15:58:56.574,3,7,612000,6000,200,1000,55.3287,7.35241,2,False,-2.40262,0,68.4459,not_open,未达到开窗剂量,
32,complete,probe/cycle_000032.csv,treatment/cycle_000032.csv,2026-07-16T15:58:57.142,2026-07-16T15:58:57.582,3,7,612000,6000,200,1000,54.3212,5.65448,2,False,-2.86361,0,68.4459,not_open,未达到开窗剂量,
33,complete,probe/cycle_000033.csv,treatment/cycle_000033.csv,2026-07-16T15:58:58.134,2026-07-16T15:58:58.559,3,7,612000,6000,200,1000,54.2101,4.69673,3,True,-3.18056,0.953725,69.3996,not_open,未达到开窗剂量,
34,complete,probe/cycle_000034.csv,treatment/cycle_000034.csv,2026-07-16T15:58:59.186,2026-07-16T15:58:59.627,3,7,612000,6000,200,1000,55.8031,8.43511,3,True,-2.40546,4.97921,74.3788,not_open,未达到开窗剂量,
35,complete,probe/cycle_000035.csv,treatment/cycle_000035.csv,2026-07-16T15:59:00.191,2026-07-16T15:59:00.630,3,7,612000,6000,200,1000,55.8296,1.76375,1,False,-2.98307,0,74.3788,not_open,未达到开窗剂量,
36,complete,probe/cycle_000036.csv,treatment/cycle_000036.csv,2026-07-16T15:59:01.199,2026-07-16T15:59:01.641,3,7,612000,6000,200,1000,53.6081,4.02589,2,False,-3.42978,0,74.3788,not_open,未达到开窗剂量,
37,complete,probe/cycle_000037.csv,treatment/cycle_000037.csv,2026-07-16T15:59:02.203,2026-07-16T15:59:02.628,3,7,612000,6000,200,1000,56.3674,7.35583,2,False,-3.35328,0,74.3788,not_open,未达到开窗剂量,
